1787306823393 	 30 	 200 	 1 	 0
1787306823434 	 16 	 200 	 2 	 0
1787306823476 	 13 	 200 	 3 	 0
1787306823510 	 13 	 200 	 5 	 1
1787306823514 	 17 	 200 	 5 	 0
1787306823541 	 14 	 200 	 6 	 0
1787306823595 	 20 	 200 	 7 	 0
1787306823623 	 13 	 200 	 8 	 0
1787306823663 	 15 	 200 	 9 	 0
1787306823783 	 21 	 200 	 10 	 0
1787306823814 	 13 	 200 	 11 	 0
1787306823852 	 21 	 200 	 13 	 1
1787306823862 	 26 	 200 	 13 	 0
1787306823932 	 26 	 200 	 15 	 1
1787306823939 	 21 	 200 	 15 	 0
1787306824156 	 22 	 200 	 16 	 0
1787306824230 	 36 	 200 	 17 	 0
1787306824281 	 13 	 200 	 18 	 0
1787306824338 	 13 	 200 	 19 	 0
1787306824360 	 19 	 200 	 20 	 0
1787306824510 	 14 	 200 	 22 	 1
1787306824516 	 16 	 200 	 22 	 0
1787306824610 	 14 	 200 	 23 	 0
1787306824724 	 15 	 200 	 24 	 0
1787306824827 	 14 	 200 	 25 	 0
1787306824862 	 13 	 200 	 27 	 1
1787306824862 	 18 	 200 	 27 	 0
1787306824901 	 14 	 200 	 29 	 1
1787306824901 	 18 	 200 	 29 	 0
1787306825066 	 37 	 200 	 31 	 1
1787306825085 	 32 	 200 	 31 	 0
1787306825165 	 20 	 200 	 32 	 0
1787306825225 	 22 	 200 	 34 	 1
1787306825244 	 13 	 200 	 34 	 0
1787306825321 	 33 	 200 	 35 	 0
1787306825479 	 13 	 200 	 37 	 1
1787306825485 	 13 	 200 	 37 	 0
1787306825507 	 19 	 200 	 38 	 0
1787306825567 	 35 	 200 	 39 	 0
1787306825730 	 14 	 200 	 40 	 0
1787306825753 	 14 	 200 	 41 	 0
1787306825829 	 13 	 200 	 42 	 0
1787306825860 	 15 	 200 	 43 	 0
1787306825986 	 24 	 200 	 45 	 1
1787306825982 	 36 	 200 	 45 	 0
1787306826023 	 13 	 200 	 46 	 0
1787306826038 	 13 	 200 	 47 	 0
1787306826058 	 12 	 200 	 48 	 0
1787306826114 	 32 	 200 	 49 	 0
1787306826167 	 13 	 200 	 50 	 0
1787306826194 	 13 	 200 	 52 	 1
1787306826195 	 14 	 200 	 52 	 0
1787306826343 	 12 	 200 	 53 	 0
1787306826368 	 20 	 200 	 56 	 2
1787306826370 	 19 	 200 	 56 	 1
1787306826371 	 19 	 200 	 56 	 0
1787306826472 	 16 	 200 	 57 	 0
1787306826585 	 15 	 200 	 58 	 0
1787306826644 	 16 	 200 	 59 	 0
1787306826701 	 17 	 200 	 60 	 0
1787306826819 	 34 	 200 	 61 	 0
1787306826961 	 35 	 200 	 62 	 0
1787306827056 	 37 	 200 	 64 	 1
1787306827074 	 21 	 200 	 64 	 0
1787306827142 	 32 	 200 	 65 	 0
1787306827202 	 31 	 200 	 66 	 0
1787306827387 	 27 	 200 	 67 	 0
1787306827449 	 13 	 200 	 69 	 1
1787306827453 	 14 	 200 	 69 	 0
1787306827480 	 14 	 200 	 71 	 1
1787306827480 	 17 	 200 	 71 	 0
1787306827567 	 14 	 200 	 72 	 0
1787306827612 	 14 	 200 	 74 	 1
1787306827626 	 13 	 200 	 74 	 0
1787306827678 	 30 	 200 	 75 	 0
1787306827747 	 14 	 200 	 76 	 0
1787306827848 	 13 	 200 	 77 	 0
1787306828219 	 36 	 200 	 79 	 1
1787306828232 	 30 	 200 	 80 	 1
1787306828262 	 14 	 200 	 80 	 0
1787306828299 	 22 	 200 	 81 	 0
1787306828332 	 13 	 200 	 83 	 1
1787306828335 	 13 	 200 	 83 	 0
1787306828365 	 16 	 200 	 84 	 0
1787306828468 	 14 	 200 	 86 	 1
1787306828478 	 13 	 200 	 86 	 0
1787306828506 	 14 	 200 	 87 	 0
1787306828547 	 18 	 200 	 88 	 0
1787306828675 	 27 	 200 	 91 	 2
1787306828691 	 18 	 200 	 91 	 1
1787306828694 	 22 	 200 	 92 	 1
1787306828715 	 13 	 200 	 92 	 0
1787306828771 	 14 	 200 	 93 	 0
1787306828788 	 13 	 200 	 94 	 0
1787306828859 	 28 	 200 	 95 	 0
1787306828901 	 20 	 200 	 97 	 1
1787306828906 	 16 	 200 	 97 	 0
1787306828927 	 13 	 200 	 99 	 1
1787306828937 	 12 	 200 	 99 	 0
1787306828988 	 23 	 200 	 100 	 0
1787306829046 	 33 	 200 	 102 	 1
1787306829054 	 32 	 200 	 102 	 0
1787306829148 	 15 	 200 	 103 	 0
1787306829285 	 14 	 200 	 104 	 0
1787306829372 	 33 	 200 	 106 	 1
1787306829375 	 32 	 200 	 106 	 0
1787306829416 	 16 	 200 	 107 	 0
1787306829634 	 12 	 200 	 110 	 2
1787306829620 	 36 	 200 	 110 	 1
1787306829646 	 16 	 200 	 110 	 0
1787306829854 	 27 	 200 	 111 	 0
1787306829905 	 14 	 200 	 112 	 0
1787306829936 	 16 	 200 	 113 	 0
1787306829986 	 14 	 200 	 114 	 0
1787306830057 	 17 	 200 	 115 	 0
1787306830122 	 13 	 200 	 116 	 0
1787306830222 	 40 	 200 	 119 	 2
1787306830235 	 29 	 200 	 120 	 2
1787306830238 	 30 	 200 	 120 	 1
1787306830265 	 13 	 200 	 120 	 0
1787306830288 	 18 	 200 	 122 	 1
1787306830293 	 20 	 200 	 122 	 0
1787306830319 	 21 	 200 	 123 	 0
1787306830360 	 13 	 200 	 125 	 1
1787306830355 	 18 	 200 	 125 	 0
1787306830385 	 15 	 200 	 127 	 1
1787306830381 	 19 	 200 	 127 	 0
1787306830433 	 23 	 200 	 128 	 0
1787306830464 	 12 	 200 	 129 	 0
1787306830498 	 13 	 200 	 130 	 0
1787306830564 	 31 	 200 	 131 	 0
1787306830632 	 17 	 200 	 132 	 0
1787306830950 	 30 	 200 	 133 	 0
1787306830997 	 13 	 200 	 134 	 0
