timestamp,pod,cpu_m,mem_mi
1788202164,s0-7858bb7b56-4c22f,41,120
1788202164,s1-7d66c7d4c5-97jlk,33,120
1788202164,s2-5f46b67bc6-pswkd,44,115
1788202164,s3-79b96b87f7-8n5lq,19,115
1788202169,gw-nginx-554c75559c-97p9m,3,7
1788202169,s0-7858bb7b56-4c22f,41,120
1788202169,s1-7d66c7d4c5-97jlk,33,120
1788202169,s2-5f46b67bc6-pswkd,44,115
1788202169,s3-79b96b87f7-8n5lq,19,115
1788202174,gw-nginx-554c75559c-97p9m,3,7
1788202174,s0-7858bb7b56-4c22f,39,121
1788202174,s1-7d66c7d4c5-97jlk,31,120
1788202174,s2-5f46b67bc6-pswkd,39,115
1788202174,s3-79b96b87f7-8n5lq,17,116
1788202179,gw-nginx-554c75559c-97p9m,3,7
1788202179,s0-7858bb7b56-4c22f,39,121
1788202179,s1-7d66c7d4c5-97jlk,31,120
1788202179,s2-5f46b67bc6-pswkd,39,115
1788202179,s3-79b96b87f7-8n5lq,17,116
1788202184,gw-nginx-554c75559c-97p9m,3,7
1788202184,s0-7858bb7b56-4c22f,39,121
1788202184,s1-7d66c7d4c5-97jlk,31,120
1788202184,s2-5f46b67bc6-pswkd,39,115
1788202184,s3-79b96b87f7-8n5lq,17,116
1788202189,gw-nginx-554c75559c-97p9m,3,7
1788202189,s0-7858bb7b56-4c22f,33,121
1788202189,s1-7d66c7d4c5-97jlk,30,121
1788202189,s2-5f46b67bc6-pswkd,51,116
1788202189,s3-79b96b87f7-8n5lq,19,116
1788202194,gw-nginx-554c75559c-97p9m,3,7
1788202194,s0-7858bb7b56-4c22f,33,121
1788202194,s1-7d66c7d4c5-97jlk,30,121
1788202194,s2-5f46b67bc6-pswkd,51,116
1788202194,s3-79b96b87f7-8n5lq,19,116
1788202200,gw-nginx-554c75559c-97p9m,3,7
1788202200,s0-7858bb7b56-4c22f,33,121
1788202200,s1-7d66c7d4c5-97jlk,30,121
1788202200,s2-5f46b67bc6-pswkd,51,116
1788202200,s3-79b96b87f7-8n5lq,19,116
1788202205,gw-nginx-554c75559c-97p9m,3,7
1788202205,s0-7858bb7b56-4c22f,33,121
1788202205,s1-7d66c7d4c5-97jlk,33,121
1788202205,s2-5f46b67bc6-pswkd,41,116
1788202205,s3-79b96b87f7-8n5lq,17,117
1788202210,gw-nginx-554c75559c-97p9m,3,7
1788202210,s0-7858bb7b56-4c22f,33,121
1788202210,s1-7d66c7d4c5-97jlk,33,121
1788202210,s2-5f46b67bc6-pswkd,41,116
1788202210,s3-79b96b87f7-8n5lq,17,117
1788202215,gw-nginx-554c75559c-97p9m,3,7
1788202215,s0-7858bb7b56-4c22f,33,121
1788202215,s1-7d66c7d4c5-97jlk,33,121
1788202215,s2-5f46b67bc6-pswkd,41,116
