timestamp,pod,cpu_m,mem_mi
1788203983,s0-7858bb7b56-4c22f,114,139
1788203983,s1-7d66c7d4c5-97jlk,98,139
1788203983,s2-5f46b67bc6-pswkd,149,121
1788203983,s3-79b96b87f7-8n5lq,53,133
1788203988,gw-nginx-554c75559c-97p9m,8,7
1788203988,s0-7858bb7b56-4c22f,135,139
1788203988,s1-7d66c7d4c5-97jlk,107,140
1788203988,s2-5f46b67bc6-pswkd,156,121
1788203988,s3-79b96b87f7-8n5lq,60,132
1788203993,gw-nginx-554c75559c-97p9m,8,7
1788203993,s0-7858bb7b56-4c22f,135,139
1788203993,s1-7d66c7d4c5-97jlk,107,140
1788203993,s2-5f46b67bc6-pswkd,156,121
1788203993,s3-79b96b87f7-8n5lq,60,132
1788203998,gw-nginx-554c75559c-97p9m,8,7
1788203998,s0-7858bb7b56-4c22f,135,139
1788203998,s1-7d66c7d4c5-97jlk,107,140
1788203998,s2-5f46b67bc6-pswkd,156,121
1788203998,s3-79b96b87f7-8n5lq,60,132
1788204003,gw-nginx-554c75559c-97p9m,8,7
1788204003,s0-7858bb7b56-4c22f,135,139
1788204003,s1-7d66c7d4c5-97jlk,104,139
1788204003,s2-5f46b67bc6-pswkd,146,122
1788204003,s3-79b96b87f7-8n5lq,60,133
1788204008,gw-nginx-554c75559c-97p9m,8,7
1788204008,s0-7858bb7b56-4c22f,135,139
1788204008,s1-7d66c7d4c5-97jlk,104,139
1788204008,s2-5f46b67bc6-pswkd,146,122
1788204008,s3-79b96b87f7-8n5lq,60,133
1788204013,gw-nginx-554c75559c-97p9m,8,7
1788204013,s0-7858bb7b56-4c22f,135,139
1788204013,s1-7d66c7d4c5-97jlk,104,139
1788204013,s2-5f46b67bc6-pswkd,146,122
1788204013,s3-79b96b87f7-8n5lq,60,133
1788204018,gw-nginx-554c75559c-97p9m,8,7
1788204018,s0-7858bb7b56-4c22f,125,139
1788204018,s1-7d66c7d4c5-97jlk,108,140
1788204018,s2-5f46b67bc6-pswkd,181,122
1788204018,s3-79b96b87f7-8n5lq,55,133
1788204023,gw-nginx-554c75559c-97p9m,8,7
1788204023,s0-7858bb7b56-4c22f,125,139
1788204023,s1-7d66c7d4c5-97jlk,108,140
1788204023,s2-5f46b67bc6-pswkd,181,122
1788204023,s3-79b96b87f7-8n5lq,55,133
1788204028,gw-nginx-554c75559c-97p9m,8,7
1788204028,s0-7858bb7b56-4c22f,125,139
1788204028,s1-7d66c7d4c5-97jlk,108,140
1788204028,s2-5f46b67bc6-pswkd,181,122
1788204028,s3-79b96b87f7-8n5lq,55,133
1788204033,gw-nginx-554c75559c-97p9m,8,7
1788204033,s0-7858bb7b56-4c22f,131,139
1788204033,s1-7d66c7d4c5-97jlk,108,140
1788204033,s2-5f46b67bc6-pswkd,171,122
1788204033,s3-79b96b87f7-8n5lq,57,133
1788204038,gw-nginx-554c75559c-97p9m,8,7
1788204038,s0-7858bb7b56-4c22f,131,139
1788204038,s1-7d66c7d4c5-97jlk,108,140
1788204038,s2-5f46b67bc6-pswkd,171,122
1788204038,s3-79b96b87f7-8n5lq,57,133
1788204043,gw-nginx-554c75559c-97p9m,8,7
1788204043,s0-7858bb7b56-4c22f,131,139
1788204043,s1-7d66c7d4c5-97jlk,108,140
1788204043,s2-5f46b67bc6-pswkd,171,122
1788204043,s3-79b96b87f7-8n5lq,57,133
