timestamp,pod,cpu_m,mem_mi
1788204767,s0-7858bb7b56-4c22f,444,150
1788204767,s1-7d66c7d4c5-97jlk,398,150
1788204767,s2-5f46b67bc6-pswkd,799,136
1788204767,s3-79b96b87f7-8n5lq,277,141
1788204772,gw-nginx-554c75559c-97p9m,22,8
1788204772,s0-7858bb7b56-4c22f,423,150
1788204772,s1-7d66c7d4c5-97jlk,367,150
1788204772,s2-5f46b67bc6-pswkd,799,136
1788204772,s3-79b96b87f7-8n5lq,233,141
1788204778,gw-nginx-554c75559c-97p9m,22,8
1788204778,s0-7858bb7b56-4c22f,423,150
1788204778,s1-7d66c7d4c5-97jlk,367,150
1788204778,s2-5f46b67bc6-pswkd,799,136
1788204778,s3-79b96b87f7-8n5lq,233,141
1788204783,gw-nginx-554c75559c-97p9m,22,8
1788204783,s0-7858bb7b56-4c22f,423,150
1788204783,s1-7d66c7d4c5-97jlk,367,150
1788204783,s2-5f46b67bc6-pswkd,799,136
1788204783,s3-79b96b87f7-8n5lq,233,141
1788204788,gw-nginx-554c75559c-97p9m,22,8
1788204788,s0-7858bb7b56-4c22f,475,152
1788204788,s1-7d66c7d4c5-97jlk,426,151
1788204788,s2-5f46b67bc6-pswkd,775,136
1788204788,s3-79b96b87f7-8n5lq,263,142
1788204793,gw-nginx-554c75559c-97p9m,22,8
1788204793,s0-7858bb7b56-4c22f,475,152
1788204793,s1-7d66c7d4c5-97jlk,426,151
1788204793,s2-5f46b67bc6-pswkd,775,136
1788204793,s3-79b96b87f7-8n5lq,263,142
1788204798,gw-nginx-554c75559c-97p9m,22,8
1788204798,s0-7858bb7b56-4c22f,475,152
1788204798,s1-7d66c7d4c5-97jlk,426,151
1788204798,s2-5f46b67bc6-pswkd,775,136
1788204798,s3-79b96b87f7-8n5lq,263,142
1788204803,gw-nginx-554c75559c-97p9m,23,7
1788204803,s0-7858bb7b56-4c22f,218,151
1788204803,s1-7d66c7d4c5-97jlk,255,151
1788204803,s2-5f46b67bc6-pswkd,740,135
1788204803,s3-79b96b87f7-8n5lq,189,141
1788204808,gw-nginx-554c75559c-97p9m,23,7
1788204808,s0-7858bb7b56-4c22f,218,151
1788204808,s1-7d66c7d4c5-97jlk,255,151
1788204808,s2-5f46b67bc6-pswkd,740,135
1788204808,s3-79b96b87f7-8n5lq,189,141
1788204813,gw-nginx-554c75559c-97p9m,23,7
1788204813,s0-7858bb7b56-4c22f,218,151
1788204813,s1-7d66c7d4c5-97jlk,255,151
1788204813,s2-5f46b67bc6-pswkd,740,135
1788204813,s3-79b96b87f7-8n5lq,189,141
1788204818,gw-nginx-554c75559c-97p9m,15,7
1788204818,s0-7858bb7b56-4c22f,372,152
1788204818,s1-7d66c7d4c5-97jlk,335,153
1788204818,s2-5f46b67bc6-pswkd,306,136
1788204818,s3-79b96b87f7-8n5lq,149,142
1788204823,gw-nginx-554c75559c-97p9m,15,7
1788204823,s0-7858bb7b56-4c22f,372,152
1788204823,s1-7d66c7d4c5-97jlk,335,153
1788204823,s2-5f46b67bc6-pswkd,306,136
1788204823,s3-79b96b87f7-8n5lq,149,142
1788204828,gw-nginx-554c75559c-97p9m,23,8
1788204828,s0-7858bb7b56-4c22f,445,153
1788204828,s1-7d66c7d4c5-97jlk,335,153
1788204828,s2-5f46b67bc6-pswkd,755,137
1788204828,s3-79b96b87f7-8n5lq,242,142
1788204833,gw-nginx-554c75559c-97p9m,23,8
1788204833,s0-7858bb7b56-4c22f,445,153
1788204833,s1-7d66c7d4c5-97jlk,335,153
