timestamp,pod,cpu_m,mem_mi
1788205131,s0-7858bb7b56-4c22f,350,157
1788205131,s1-7d66c7d4c5-97jlk,318,156
1788205131,s2-5f46b67bc6-pswkd,536,140
1788205131,s3-79b96b87f7-8n5lq,184,146
1788205136,gw-nginx-554c75559c-97p9m,19,8
1788205136,s0-7858bb7b56-4c22f,350,157
1788205136,s1-7d66c7d4c5-97jlk,318,156
1788205136,s2-5f46b67bc6-pswkd,536,140
1788205136,s3-79b96b87f7-8n5lq,184,146
1788205141,gw-nginx-554c75559c-97p9m,19,8
1788205141,s0-7858bb7b56-4c22f,350,157
1788205141,s1-7d66c7d4c5-97jlk,318,156
1788205141,s2-5f46b67bc6-pswkd,536,140
1788205141,s3-79b96b87f7-8n5lq,184,146
1788205146,gw-nginx-554c75559c-97p9m,6,8
1788205146,s0-7858bb7b56-4c22f,210,156
1788205146,s1-7d66c7d4c5-97jlk,152,156
1788205146,s2-5f46b67bc6-pswkd,182,140
1788205146,s3-79b96b87f7-8n5lq,118,146
1788205151,gw-nginx-554c75559c-97p9m,6,8
1788205151,s0-7858bb7b56-4c22f,210,156
1788205151,s1-7d66c7d4c5-97jlk,152,156
1788205151,s2-5f46b67bc6-pswkd,182,140
1788205151,s3-79b96b87f7-8n5lq,118,146
1788205156,gw-nginx-554c75559c-97p9m,6,8
1788205156,s0-7858bb7b56-4c22f,210,156
1788205156,s1-7d66c7d4c5-97jlk,152,156
1788205156,s2-5f46b67bc6-pswkd,182,140
1788205156,s3-79b96b87f7-8n5lq,118,146
1788205161,gw-nginx-554c75559c-97p9m,6,8
1788205161,s0-7858bb7b56-4c22f,100,157
1788205161,s1-7d66c7d4c5-97jlk,104,155
1788205161,s2-5f46b67bc6-pswkd,182,140
1788205161,s3-79b96b87f7-8n5lq,46,147
1788205166,gw-nginx-554c75559c-97p9m,6,8
1788205166,s0-7858bb7b56-4c22f,100,157
1788205166,s1-7d66c7d4c5-97jlk,104,155
1788205166,s2-5f46b67bc6-pswkd,182,140
1788205166,s3-79b96b87f7-8n5lq,46,147
1788205171,gw-nginx-554c75559c-97p9m,6,8
1788205171,s0-7858bb7b56-4c22f,100,157
1788205171,s1-7d66c7d4c5-97jlk,104,155
1788205171,s2-5f46b67bc6-pswkd,182,140
1788205171,s3-79b96b87f7-8n5lq,46,147
1788205176,gw-nginx-554c75559c-97p9m,9,8
1788205176,s0-7858bb7b56-4c22f,82,156
1788205176,s1-7d66c7d4c5-97jlk,104,155
1788205176,s2-5f46b67bc6-pswkd,168,140
1788205176,s3-79b96b87f7-8n5lq,51,146
1788205181,gw-nginx-554c75559c-97p9m,9,8
1788205181,s0-7858bb7b56-4c22f,82,156
1788205181,s1-7d66c7d4c5-97jlk,104,155
1788205181,s2-5f46b67bc6-pswkd,168,140
1788205181,s3-79b96b87f7-8n5lq,51,146
1788205186,gw-nginx-554c75559c-97p9m,9,8
1788205186,s0-7858bb7b56-4c22f,82,156
1788205186,s1-7d66c7d4c5-97jlk,104,155
1788205186,s2-5f46b67bc6-pswkd,168,140
1788205186,s3-79b96b87f7-8n5lq,51,146
1788205191,gw-nginx-554c75559c-97p9m,3,8
1788205191,s0-7858bb7b56-4c22f,82,156
1788205191,s1-7d66c7d4c5-97jlk,54,156
1788205191,s2-5f46b67bc6-pswkd,85,140
1788205191,s3-79b96b87f7-8n5lq,42,146
1788205196,gw-nginx-554c75559c-97p9m,3,8
1788205196,s0-7858bb7b56-4c22f,82,156
1788205196,s1-7d66c7d4c5-97jlk,54,156
1788205196,s2-5f46b67bc6-pswkd,85,140
1788205196,s3-79b96b87f7-8n5lq,42,146
1788205201,gw-nginx-554c75559c-97p9m,3,8
1788205201,s0-7858bb7b56-4c22f,82,156
1788205201,s1-7d66c7d4c5-97jlk,54,156
1788205201,s2-5f46b67bc6-pswkd,85,140
1788205201,s3-79b96b87f7-8n5lq,42,146
1788205206,gw-nginx-554c75559c-97p9m,6,8
1788205206,s0-7858bb7b56-4c22f,116,156
1788205206,s1-7d66c7d4c5-97jlk,102,156
1788205206,s2-5f46b67bc6-pswkd,205,140
1788205206,s3-79b96b87f7-8n5lq,46,147
1788205211,gw-nginx-554c75559c-97p9m,6,8
1788205211,s0-7858bb7b56-4c22f,116,156
1788205211,s1-7d66c7d4c5-97jlk,102,156
1788205211,s2-5f46b67bc6-pswkd,205,140
1788205211,s3-79b96b87f7-8n5lq,46,147
1788205216,gw-nginx-554c75559c-97p9m,6,8
1788205216,s0-7858bb7b56-4c22f,116,156
1788205216,s1-7d66c7d4c5-97jlk,102,156
1788205216,s2-5f46b67bc6-pswkd,205,140
1788205216,s3-79b96b87f7-8n5lq,46,147
1788205221,gw-nginx-554c75559c-97p9m,14,8
1788205221,s0-7858bb7b56-4c22f,282,157
1788205221,s1-7d66c7d4c5-97jlk,208,156
1788205221,s2-5f46b67bc6-pswkd,387,141
1788205221,s3-79b96b87f7-8n5lq,134,146
1788205226,gw-nginx-554c75559c-97p9m,14,8
1788205226,s0-7858bb7b56-4c22f,282,157
1788205226,s1-7d66c7d4c5-97jlk,208,156
1788205226,s2-5f46b67bc6-pswkd,387,141
1788205226,s3-79b96b87f7-8n5lq,134,146
1788205231,gw-nginx-554c75559c-97p9m,14,8
1788205231,s0-7858bb7b56-4c22f,282,157
1788205231,s1-7d66c7d4c5-97jlk,208,156
1788205231,s2-5f46b67bc6-pswkd,387,141
1788205231,s3-79b96b87f7-8n5lq,134,146
1788205236,gw-nginx-554c75559c-97p9m,13,8
1788205236,s0-7858bb7b56-4c22f,282,157
1788205236,s1-7d66c7d4c5-97jlk,231,156
1788205236,s2-5f46b67bc6-pswkd,368,140
1788205236,s3-79b96b87f7-8n5lq,134,146
1788205242,gw-nginx-554c75559c-97p9m,13,8
1788205242,s0-7858bb7b56-4c22f,282,157
1788205242,s1-7d66c7d4c5-97jlk,231,156
1788205242,s2-5f46b67bc6-pswkd,368,140
1788205242,s3-79b96b87f7-8n5lq,134,146
1788205247,gw-nginx-554c75559c-97p9m,13,8
1788205247,s0-7858bb7b56-4c22f,282,157
1788205247,s1-7d66c7d4c5-97jlk,231,156
1788205247,s2-5f46b67bc6-pswkd,368,140
1788205247,s3-79b96b87f7-8n5lq,134,146
1788205252,gw-nginx-554c75559c-97p9m,6,8
1788205252,s0-7858bb7b56-4c22f,105,157
1788205252,s1-7d66c7d4c5-97jlk,124,157
1788205252,s2-5f46b67bc6-pswkd,113,141
1788205252,s3-79b96b87f7-8n5lq,60,146
1788205257,gw-nginx-554c75559c-97p9m,6,8
1788205257,s0-7858bb7b56-4c22f,105,157
1788205257,s1-7d66c7d4c5-97jlk,124,157
1788205257,s2-5f46b67bc6-pswkd,113,141
1788205257,s3-79b96b87f7-8n5lq,60,146
1788205262,gw-nginx-554c75559c-97p9m,6,8
1788205262,s0-7858bb7b56-4c22f,105,157
1788205262,s1-7d66c7d4c5-97jlk,124,157
1788205262,s2-5f46b67bc6-pswkd,113,141
1788205262,s3-79b96b87f7-8n5lq,60,146
1788205267,gw-nginx-554c75559c-97p9m,23,8
1788205267,s0-7858bb7b56-4c22f,272,158
1788205267,s1-7d66c7d4c5-97jlk,387,155
1788205267,s2-5f46b67bc6-pswkd,782,141
1788205267,s3-79b96b87f7-8n5lq,155,146
1788205272,gw-nginx-554c75559c-97p9m,23,8
1788205272,s0-7858bb7b56-4c22f,272,158
1788205272,s1-7d66c7d4c5-97jlk,387,155
1788205272,s2-5f46b67bc6-pswkd,782,141
1788205272,s3-79b96b87f7-8n5lq,155,146
1788205277,gw-nginx-554c75559c-97p9m,23,8
1788205277,s0-7858bb7b56-4c22f,272,158
1788205277,s1-7d66c7d4c5-97jlk,387,155
1788205277,s2-5f46b67bc6-pswkd,782,141
1788205277,s3-79b96b87f7-8n5lq,155,146
1788205282,gw-nginx-554c75559c-97p9m,9,8
1788205282,s0-7858bb7b56-4c22f,371,157
1788205282,s1-7d66c7d4c5-97jlk,44,156
1788205282,s2-5f46b67bc6-pswkd,782,141
1788205282,s3-79b96b87f7-8n5lq,189,146
