1787306562052 	 45 	 200 	 2 	 1
1787306562092 	 24 	 200 	 2 	 0
1787306562133 	 14 	 200 	 3 	 0
1787306562171 	 14 	 200 	 5 	 1
1787306562167 	 18 	 200 	 5 	 0
1787306562198 	 15 	 200 	 6 	 0
1787306562252 	 14 	 200 	 7 	 0
1787306562280 	 12 	 200 	 8 	 0
1787306562320 	 15 	 200 	 9 	 0
1787306562440 	 16 	 200 	 10 	 0
1787306562471 	 14 	 200 	 11 	 0
1787306562509 	 14 	 200 	 13 	 1
1787306562519 	 17 	 200 	 13 	 0
1787306562596 	 20 	 200 	 15 	 1
1787306562590 	 50 	 200 	 15 	 0
1787306562814 	 13 	 200 	 16 	 0
1787306562887 	 14 	 200 	 17 	 0
1787306562938 	 15 	 200 	 18 	 0
1787306562995 	 13 	 200 	 19 	 0
1787306563017 	 17 	 200 	 20 	 0
1787306563168 	 16 	 200 	 22 	 1
1787306563173 	 30 	 200 	 22 	 0
1787306563268 	 23 	 200 	 23 	 0
1787306563381 	 13 	 200 	 24 	 0
1787306563485 	 24 	 200 	 25 	 0
1787306563520 	 17 	 200 	 27 	 1
1787306563519 	 16 	 200 	 27 	 0
1787306563561 	 14 	 200 	 29 	 1
1787306563558 	 16 	 200 	 29 	 0
1787306563724 	 16 	 200 	 30 	 0
1787306563742 	 12 	 200 	 31 	 0
1787306563822 	 13 	 200 	 32 	 0
1787306563883 	 17 	 200 	 34 	 1
1787306563901 	 13 	 200 	 34 	 0
1787306563979 	 30 	 200 	 35 	 0
1787306564137 	 22 	 200 	 37 	 1
1787306564142 	 17 	 200 	 37 	 0
1787306564164 	 13 	 200 	 38 	 0
1787306564225 	 14 	 200 	 39 	 0
1787306564388 	 16 	 200 	 40 	 0
1787306564410 	 14 	 200 	 41 	 0
1787306564486 	 14 	 200 	 42 	 0
1787306564517 	 15 	 200 	 43 	 0
1787306564643 	 15 	 200 	 45 	 1
1787306564639 	 19 	 200 	 45 	 0
1787306564680 	 15 	 200 	 47 	 1
1787306564695 	 13 	 200 	 47 	 0
1787306564715 	 13 	 200 	 48 	 0
1787306564772 	 24 	 200 	 49 	 0
1787306564824 	 13 	 200 	 50 	 0
1787306564852 	 15 	 200 	 52 	 1
1787306564851 	 16 	 200 	 52 	 0
